species,order,family,migration_birdlife
Accipiter cooperii,Accipitriformes,Accipitridae,Full Migrant
Accipiter gentilis,Accipitriformes,Accipitridae,Full Migrant
Accipiter gularis,Accipitriformes,Accipitridae,Full Migrant
Accipiter nisus,Accipitriformes,Accipitridae,Full Migrant
Accipiter striatus,Accipitriformes,Accipitridae,Full Migrant
Accipiter trivirgatus,Accipitriformes,Accipitridae,Not a Migrant
Aceros nipalensis,Bucerotiformes,Bucerotidae,Not a Migrant
Aegolius acadicus,Strigiformes,Strigidae,Full Migrant
Aix sponsa,Anseriformes,Anatidae,Full Migrant
Alca torda,Charadriiformes,Alcidae,Full Migrant
Anas acuta,Anseriformes,Anatidae,Full Migrant
Anas platyrhynchos,Anseriformes,Anatidae,Full Migrant
Anas rubripes,Anseriformes,Anatidae,Full Migrant
Anodorhynchus leari,Psittaciformes,Psittacidae,Not a Migrant
Anser albifrons,Anseriformes,Anatidae,Full Migrant
Anser anser,Anseriformes,Anatidae,Full Migrant
Anser brachyrhynchus,Anseriformes,Anatidae,Full Migrant
Anser fabalis,Anseriformes,Anatidae,Full Migrant
Anser indicus,Anseriformes,Anatidae,Full Migrant
Anthracoceros albirostris,Bucerotiformes,Bucerotidae,Not a Migrant
Anthropoides paradiseus,Gruiformes,Gruidae,Not a Migrant
Anthropoides virgo,Gruiformes,Gruidae,Full Migrant
Antrostomus vociferus,Caprimulgiformes,Caprimulgidae,Full Migrant
Apus apus,Caprimulgiformes,Apodidae,Full Migrant
Aquila chrysaetos,Accipitriformes,Accipitridae,Full Migrant
Aquila nipalensis,Accipitriformes,Accipitridae,Full Migrant
Aquila rapax,Accipitriformes,Accipitridae,Nomadic
Ara macao,Psittaciformes,Psittacidae,Not a Migrant
Ardea alba,Pelecaniformes,Ardeidae,Full Migrant
Ardea cinerea,Pelecaniformes,Ardeidae,Full Migrant
Ardea herodias,Pelecaniformes,Ardeidae,Full Migrant
Ardea insignis,Pelecaniformes,Ardeidae,Not a Migrant
