birdlife_name,species,speed,sd,n_tracks,source,V_mp,V_mr,flight_type,soaring_birds
Accipiter nisus,Accipiter nisus,11.3,1.9,12,Alerstam2007,,,,
Alauda arvensis,Alauda arvensis,15.1,2.1,15,Alerstam2007,,,,
Anas acuta,Anas acuta,20.6,2.6,6,Alerstam2007,,,,
Anas crecca,Anas crecca,19.7,4,9,Alerstam2007,,,,
Mareca penelope,Anas penelope,20.6,2.1,36,Alerstam2007,,,,
Anas platyrhynchos,Anas platyrhynchos,18.5,2.3,22,Alerstam2007,,,,
Anser albifrons,Anser albifrons,16.1,2,5,Alerstam2007,,,,
Anser anser,Anser anser,17.1,2.6,21,Alerstam2007,,,,
Anser fabalis,Anser fabalis,17.3,2.7,44,Alerstam2007,,,,
Anthus trivialis,Anthus trivialis,12.7,2.2,4,Alerstam2007,,,,
Apus apus,Apus apus,9.7,2,34,Alerstam2007,,,,
Aquila chrysaetos,Aquila chrysaetos,11.9,,1,Alerstam2007,,,,
Ardea cinerea,Ardea cinerea,12.5,2.2,14,Alerstam2007,,,,
Arenaria interpres,Arenaria interpres,14.9,0.7,2,Alerstam2007,,,,
Aythya ferina,Aythya ferina,23.6,,1,Alerstam2007,,,,
Aythya fuligula,Aythya fuligula,21.1,1.1,3,Alerstam2007,,,,
Aythya marila,Aythya marila,21.3,,1,Alerstam2007,,,,
Botaurus stellaris,Botaurus stellaris,8.8,,1,Alerstam2007,,,,
Branta bernicla,Branta bernicla,17.7,2.8,97,Alerstam2007,,,,
Branta canadensis,Branta canadensis,16.7,,1,Alerstam2007,,,,
Branta leucopsis,Branta leucopsis,17,2.2,22,Alerstam2007,,,,
Bucephala clangula,Bucephala clangula,20.3,3.8,10,Alerstam2007,,,,
Buteo buteo,Buteo buteo,11.6,2.7,10,Alerstam2007,,,,
Buteo lagopus,Buteo lagopus,10.5,0,2,Alerstam2007,,,,
Calidris alpina,Calidris alpina,15.3,1.9,36,Alerstam2007,,,,
Calidris canutus,Calidris canutus,20.1,1.9,7,Alerstam2007,,,,
Linaria cannabina,Carduelis cannabina,14.8,4.5,2,Alerstam2007,,,,
Spinus spinus,Carduelis spinus,14.5,1.6,60,Alerstam2007,,,,
Charadrius hiaticula,Charadrius hiaticula,19.5,,1,Alerstam2007,,,,
Circus aeruginosus,Circus aeruginosus,11.2,1.6,2,Alerstam2007,,,,
Circus cyaneus,Circus cyaneus,9.1,0.7,2,Alerstam2007,,,,
Clangula hyemalis,Clangula hyemalis,22,1.4,3,Alerstam2007,,,,
Columba oenas,Columba oenas,15.8,2,8,Alerstam2007,,,,
Columba palumbus,Columba palumbus,16.3,2.3,87,Alerstam2007,,,,
Corvus corax,Corvus corax,14.3,0.9,5,Alerstam2007,,,,
Corvus corone,Corvus corone,13.5,2.6,5,Alerstam2007,,,,
Corvus frugilegus,Corvus frugilegus,11.5,1.2,16,Alerstam2007,,,,
Corvus monedula,Corvus monedula,12.5,2.6,13,Alerstam2007,,,,
Cygnus columbianus,Cygnus columbianus,18.5,,1,Alerstam2007,,,,
Cygnus cygnus,Cygnus cygnus,17.3,2,10,Alerstam2007,,,,
Cygnus olor,Cygnus olor,16.2,1.6,24,Alerstam2007,,,,
Delichon urbicum,Delichon urbicum,9.7,0.5,2,Alerstam2007,,,,
Falco tinnunculus,Falco tinnunculus,10.1,,1,Alerstam2007,,,,
Fringilla coelebs,Fringilla coelebs,12.8,1.9,23,Alerstam2007,,,,
Fringilla montifringilla,Fringilla montifringilla,15,2.9,4,Alerstam2007,,,,
Gallinago gallinago,Gallinago gallinago,17.1,2.7,22,Alerstam2007,,,,
Garrulus glandarius,Garrulus glandarius,6.7,1,2,Alerstam2007,,,,
Gavia adamsii,Gavia adamsii,18.7,0.5,2,Alerstam2007,,,,
Gavia arctica,Gavia arctica,19.3,2.1,13,Alerstam2007,,,,
Gavia stellata,Gavia stellata,18.6,3.9,7,Alerstam2007,,,,
Grus grus,Grus grus,15,2.7,12,Alerstam2007,,,,
Haematopus ostralegus,Haematopus ostralegus,13,2.5,19,Alerstam2007,,,,
Haliaeetus albicilla,Haliaeetus albicilla,13.6,0.9,2,Alerstam2007,,,,
Hirundo rustica,Hirundo rustica,10,2,2,Alerstam2007,,,,
Larus argentatus,Larus argentatus,12.8,1.8,18,Alerstam2007,,,,
Larus canus,Larus canus,13.4,2.9,36,Alerstam2007,,,,
Larus fuscus,Larus fuscus,13.1,1.9,11,Alerstam2007,,,,
Larus glaucoides,Larus glaucoides,15.9,,1,Alerstam2007,,,,
Larus hyperboreus,Larus hyperboreus,13.4,0.8,3,Alerstam2007,,,,
Larus marinus,Larus marinus,13.7,1.2,4,Alerstam2007,,,,
Hydrocoloeus minutus,Larus minutus,11.5,0.1,2,Alerstam2007,,,,
Larus ridibundus,Larus ridibundus,11.9,1.6,19,Alerstam2007,,,,
