name,sex,bodymass,wingspan,fat_mass,order,wingarea,muscle_mass
Diomedea epomophora,NA,8.697,2.82,2.8700099999999997,2,0.4963,1.4784899999999999
Diomedea exulans,NA,6.636,2.71,2.18988,2,0.4337,1.12812
Thalassarche bulleri,NA,3.012,2.05,0.9939600000000001,2,0.2538,0.51204
Thalassarche chrysostoma,NA,3.3,2,1.089,2,0.2389,0.561
Thalassarche melanophris,NA,2.911,2.09,0.9606300000000001,2,0.2682,0.49487000000000003
Hydrobates pelagicus,NA,0.028,0.34,0.00924,2,0.0153,0.00476
Fregetta tropica,NA,0.054,0.41,0.01782,2,0.0226,0.00918
Garrodia nereis,NA,0.032,0.32,0.01056,2,0.014,0.00544
Aphrodroma brevirostris,NA,0.329,0.86,0.10857000000000001,2,0.0594,0.05593000000000001
Ardenna grisea,NA,0.819,0.99,0.27027,2,0.0727,0.13923
Ardenna tenuirostris,NA,0.544,0.94,0.17952,2,0.073,0.09248
Calonectris diomedea,NA,0.946,1.21,0.31218,2,0.1114,0.16082
Daption capense,NA,0.377,0.89,0.12441,2,0.063,0.06409000000000001
Fulmarus glacialis,NA,0.763,1.12,0.25179,2,0.1056,0.12971000000000002
Fulmarus glacialoides,NA,0.887,1.17,0.29271,2,0.112,0.15079
Halobaena caerulea,NA,0.181,0.68,0.05973,2,0.0392,0.030770000000000002
Macronectes halli,NA,4.255,1.93,1.40415,2,0.2846,0.72335
Pachyptila desolata,NA,0.159,0.63,0.05247,2,0.0423,0.027030000000000002
Pachyptila salvini,NA,0.156,0.63,0.051480000000000005,2,0.0404,0.026520000000000002
Pachyptila turtur,NA,0.132,0.56,0.04356,2,0.0336,0.02244
Pelecanoides urinatrix,NA,0.119,0.38,0.03927,2,0.0174,0.02023
Procellaria aequinoctialis,NA,1.134,1.38,0.37422,2,0.1455,0.19278
Procellaria cinerea,NA,1.018,1.19,0.33594,2,0.1072,0.17306000000000002
Procellaria westlandica,NA,1.229,1.4,0.40557000000000004,2,0.1632,0.20893000000000003
Pterodroma cookii,NA,0.191,0.73,0.06303,2,0.0508,0.032470000000000006
Pterodroma externa,NA,0.43,1,0.1419,2,0.0795,0.0731
Pterodroma inexpectata,NA,0.329,0.84,0.10857000000000001,2,0.0542,0.05593000000000001
Pterodroma lessonii,NA,0.586,1.01,0.19338,2,0.0815,0.09962
Pterodroma mollis,NA,0.276,0.83,0.09108000000000001,2,0.0603,0.04692000000000001
Pterodroma phaeopygia,NA,0.408,0.97,0.13464,2,0.0768,0.06936
Puffinus assimilis,NA,0.238,0.6,0.07854,2,0.0383,0.04046
Puffinus huttoni,NA,0.364,0.74,0.12012,2,0.0487,0.061880000000000004
Puffinus puffinus,NA,0.426,0.78,0.14058,2,0.0559,0.07242
Alca torda,NA,0.62,0.661,0.2046,2,0.0462,0.10540000000000001
Fratercula arctica,NA,0.398,0.549,0.13134,2,0.0369,0.06766000000000001
Uria aalge,NA,0.95,0.707,0.3135,2,0.0544,0.1615
Larus argentatus,NA,0.94,1.31,0.3102,2,0.181,0.1598
Larus marinus,NA,1.56,1.69,0.5148,2,0.317,0.26520000000000005
Rissa tridactyla,NA,0.387,0.965,0.12771000000000002,2,0.101,0.06579
Stercorarius parasiticus,NA,0.39,1.05,0.1287,2,0.117,0.06630000000000001
Catharacta skua,NA,1.35,1.37,0.44550000000000006,2,0.214,0.22950000000000004
Diomedea exulans,NA,8.73,3.03,2.8809000000000005,2,0.611,1.4841000000000002
Phoebetria palpebrata,NA,2.84,2.18,0.9372,2,0.338,0.4828
Thalassarche chrysostoma,NA,3.79,2.18,1.2507000000000001,2,0.352,0.6443000000000001
Thalassarche melanophris,NA,3.79,2.16,1.2507000000000001,2,0.356,0.6443000000000001
Oceanites oceanicus,NA,0.038,0.393,0.01254,2,0.0219,0.0064600000000000005
Daption capense,NA,0.433,0.875,0.14289000000000002,2,0.0773,0.07361000000000001
Fulmarus glacialis,NA,0.815,1.13,0.26895,2,0.124,0.13855
Macronectes giganteus,NA,5.19,1.99,1.7127000000000001,2,0.331,0.8823000000000001
Pachyptila desolata,NA,0.168,0.626,0.05544,2,0.046,0.028560000000000006
Pelecanoides georgicus,NA,0.114,0.381,0.03762,2,0.02,0.01938
Pelecanoides urinatrix,NA,0.137,0.393,0.04521000000000001,2,0.0221,0.023290000000000005
Procellaria aequinoctialis,NA,1.37,1.4,0.45210000000000006,2,0.169,0.23290000000000002
Gulosus aristotelis,NA,1.81,1.04,0.5973,2,0.158,0.30770000000000003
Leucocarbo atriceps,NA,2.23,1.13,0.7359,2,0.183,0.37910000000000005
Morus bassanus,NA,3.01,1.85,0.9933,2,0.262,0.5117
Accipiter cooperii,NA,0.4285,0.711,0.141405,2,0.0898,0.07284500000000001
Accipiter gentilis,f,1.37,1.5,0.45210000000000006,2,0.2004,0.23290000000000002
Accipiter gentilis,m,0.778,1.05,0.25674,2,0.13985,0.13226000000000002
Accipiter nisus,f,0.221,0.75,0.07293000000000001,2,0.0822,0.037570000000000006
Accipiter nisus,m,0.136,0.622,0.04488,2,0.053,0.02312
Accipiter striatus,NA,0.1343,0.533,0.044319000000000004,2,0.0523,0.022831
Aquila chrysaetos,NA,3.712,2.121,1.22496,2,0.5382,0.63104
Aquila fasciata,NA,2.06,1.552,0.6798000000000001,2,0.3172,0.3502
Buteo buteo,NA,1.027,1.322,0.33891,2,0.2691,0.17459
Buteo jamaicensis,NA,1.091,1.22,0.36003,2,0.2086,0.18547
Buteo lagopus,NA,1.11,1.41,0.36630000000000007,2,0.2592,0.18870000000000003
Buteo lineatus,NA,0.804,1.016,0.26532000000000006,2,0.1656,0.13668000000000002
Buteo platypterus,NA,0.376,0.838,0.12408000000000001,2,0.1012,0.06392
Circaetus gallicus,NA,1.655,1.81,0.54615,2,0.4121,0.28135000000000004
Circus aeruginosus,NA,0.68,1.345,0.22440000000000002,2,0.2264,0.11560000000000002
Circus cyaneus,f,0.4715,1.167,0.155595,2,0.1759,0.080155
Circus cyaneus,m,0.331,1.044,0.10923000000000001,2,0.1406,0.05627000000000001
Circus hudsonius,f,0.615,1.1,0.20295000000000002,2,0.1696,0.10455
Circus hudsonius,m,0.414,1.067,0.13662,2,0.1382,0.07038
Circus macrourus,NA,0.386,1.107,0.12738000000000002,2,0.1413,0.06562000000000001
Circus pygargus,NA,0.2365,1.101,0.078045,2,0.1296,0.040205
Geranoaetus melanoleucus,NA,2.123,1.453,0.7005900000000002,2,0.355,0.36091000000000006
Gypaetus barbatus,NA,5.385,2.524,1.77705,2,0.7431,0.91545
Gyps fulvus,NA,7.269,2.557,2.3987700000000003,2,1.054,1.2357300000000002
Milvus migrans,NA,0.8895,1.408,0.293535,2,0.26356,0.15121500000000002
Milvus milvus,NA,0.927,1.628,0.30591,2,0.2902,0.15759
Pernis apivorus,NA,0.615,1.199,0.20295000000000002,2,0.1894,0.10455
Terathopius ecaudatus,NA,2.095,1.536,0.6913500000000001,2,0.3582,0.3561500000000001
Cathartes aura,NA,2.409,1.829,0.79497,2,0.4356,0.40953
Coragyps atratus,NA,1.998,1.429,0.65934,2,0.3326,0.33966
Pandion haliaetus,NA,1.105,1.572,0.36465000000000003,2,0.2921,0.18785000000000002
Aix sponsa,NA,0.589,0.711,0.19437,2,0.066,0.10013
Anas acuta,NA,0.97,0.89,0.3201,2,0.0761,0.16490000000000002
Anas carolinensis,NA,0.321,0.61,0.10593000000000001,2,0.0374,0.05457000000000001
Anas crecca,NA,0.293,0.578,0.09669,2,0.0349,0.04981
Anas platyrhynchos,NA,1.105,0.9,0.36465000000000003,2,0.0928,0.18785000000000002
Anas rubripes,NA,1.142,0.9,0.37686,2,0.1007,0.19414
Anser albifrons,NA,1.715,1.41,0.5659500000000001,2,0.1835,0.29155000000000003
Anser anser,NA,3.065,1.63,1.01145,2,0.2697,0.52105
Anser fabalis,NA,3.11,1.62,1.0263,2,0.2675,0.5287000000000001
Aythya affinis,NA,0.763,0.74,0.25179,2,0.0472,0.12971000000000002
Aythya collaris,NA,0.7573,0.71,0.249909,2,0.046,0.128741
Aythya ferina,NA,0.842,0.774,0.27786,2,0.0615,0.14314000000000002
Aythya fuligula,NA,0.741,0.706,0.24453,2,0.0474,0.12597
Aythya marila,NA,0.675,0.814,0.22275000000000003,2,0.0621,0.11475000000000002
