name,sex,bodymass,wingspan,fat_mass,order,wingarea,muscle_mass,range,body_mass_out,fat_mass_out,muscle_mass_out,start_min_speed,end_min_speed
Diomedea epomophora,NA,8.697,2.82,2.8700099999999997,2,0.4963,1.4784899999999999,10670.82926932711,4.778581217190525,-0,1.4784899999999999,19.192691281272676,15.7204022802161
Diomedea exulans,NA,6.636,2.71,2.18988,2,0.4337,1.12812,11260.175087247231,3.646366771678569,-0,1.12812,17.889650040747025,14.653148201511968
Thalassarche bulleri,NA,3.012,2.05,0.9939600000000001,2,0.2538,0.51204,10726.594088220005,1.6550649748090318,-0,0.51204,15.805269833174043,12.945818458490058
Thalassarche chrysostoma,NA,3.3,2,1.089,2,0.2389,0.561,10290.608467966133,1.8135767063782393,-0,0.561,16.496435550628203,13.51271577508353
Thalassarche melanophris,NA,2.911,2.09,0.9606300000000001,2,0.2682,0.49487000000000003,10944.554096271379,1.599728495049186,-0,0.49487000000000003,15.476246770672631,12.676691610821331
Hydrobates pelagicus,NA,0.028,0.34,0.00924,2,0.0153,0.00476,4822.315863289843,0.015388423699756761,0,0.00476,8.153957780905758,6.679323534914291
Fregetta tropica,NA,0.054,0.41,0.01782,2,0.0226,0.00918,5071.419916110082,0.029676456293892647,-0,0.00918,9.243620436187616,7.571873052684133
Garrodia nereis,NA,0.032,0.32,0.01056,2,0.014,0.00544,4547.930371032196,0.017587334910908595,0,0.00544,8.787659932897514,7.198623949882115
Aphrodroma brevirostris,NA,0.329,0.86,0.10857000000000001,2,0.0594,0.05593000000000001,7828.004761458214,0.18078771882182598,-0,0.05593000000000001,11.660477086398906,9.551024316819396
Ardenna grisea,NA,0.819,0.99,0.27027,2,0.0727,0.13923,7426.734531156059,0.44990677791653566,-0,0.13923,14.731375422808235,12.065571530401652
Ardenna tenuirostris,NA,0.544,0.94,0.17952,2,0.073,0.09248,7538.459583812245,0.29892119658900157,-0,0.09248,13.189824584649688,10.803779971264929
Calonectris diomedea,NA,0.946,1.21,0.31218,2,0.1114,0.16082,8431.73381115718,0.519763472699505,-0,0.16082,13.981305401605397,11.451614198933225
Daption capense,NA,0.377,0.89,0.12441,2,0.063,0.06409000000000001,7865.947960337744,0.20712702468144886,-0,0.06409000000000001,11.994870139099383,9.824362352081199
Fulmarus glacialis,NA,0.763,1.12,0.25179,2,0.1056,0.12971000000000002,8029.049125409632,0.41929622714661063,-0,0.12971000000000002,13.526755359806819,11.080026107112852
Fulmarus glacialoides,NA,0.887,1.17,0.29271,2,0.112,0.15079,8127.944852361621,0.48732284469369214,-0,0.15079,13.916188726512384,11.39813719373476
Halobaena caerulea,NA,0.181,0.68,0.05973,2,0.0392,0.030770000000000002,7147.703511126135,0.09945770212288381,-0,0.030770000000000002,10.743902584064156,8.800194792517923
Macronectes halli,NA,4.255,1.93,1.40415,2,0.2846,0.72335,8638.555594845124,2.3384208024802597,-0,0.72335,18.278479405437952,14.973025662019529
Pachyptila desolata,NA,0.159,0.63,0.05247,2,0.0423,0.027030000000000002,6400.63934547668,0.08736867888471443,-0,0.027030000000000002,10.689967374600403,8.756117539591303
Pachyptila salvini,NA,0.156,0.63,0.051480000000000005,2,0.0404,0.026520000000000002,6525.305295506313,0.08571049155391872,-0,0.026520000000000002,10.622273818022027,8.700314802778122
Pachyptila turtur,NA,0.132,0.56,0.04356,2,0.0336,0.02244,6044.307894156164,0.07252276964038788,-0,0.02244,10.656095551176687,8.728049006102598
Pelecanoides urinatrix,NA,0.119,0.38,0.03927,2,0.0174,0.02023,4356.5340060248645,0.06539350175675522,-0,0.02023,12.496368597757998,10.236892457073099
Procellaria aequinoctialis,NA,1.134,1.38,0.37422,2,0.1455,0.19278,9012.17528117572,0.6231429690092121,-0,0.19278,13.907677903048905,11.391729860872973
Procellaria cinerea,NA,1.018,1.19,0.33594,2,0.1072,0.17306000000000002,8188.581929539244,0.5593279193196774,-0,0.17306000000000002,14.447447227761325,11.833547310869582
Procellaria westlandica,NA,1.229,1.4,0.40557000000000004,2,0.1632,0.20893000000000003,8706.830168126507,0.6753915422143881,-0,0.20893000000000003,14.183461972734762,11.617954883737319
Pterodroma cookii,NA,0.191,0.73,0.06303,2,0.0508,0.032470000000000006,7183.038867022194,0.10494881482954366,-0,0.032470000000000006,10.557082403031053,8.647043082607953
