birdlife_seq,scientific_name,synonym,family,order,sp_status
1,Struthio camelus,NA,Struthionidae,Struthioniformes,R
2,Struthio molybdophanes,NA,Struthionidae,Struthioniformes,R
3,Rhea americana,NA,Rheidae,Struthioniformes,R
4,Rhea pennata,NA,Rheidae,Struthioniformes,R
5,Nothocercus julius,NA,Tinamidae,Struthioniformes,R
6,Nothocercus bonapartei,NA,Tinamidae,Struthioniformes,R
7,Nothocercus nigrocapillus,NA,Tinamidae,Struthioniformes,R
8,Tinamus tao,NA,Tinamidae,Struthioniformes,R
9,Tinamus solitarius,NA,Tinamidae,Struthioniformes,R
10,Tinamus osgoodi,NA,Tinamidae,Struthioniformes,R
11,Tinamus major,NA,Tinamidae,Struthioniformes,R
12,Tinamus guttatus,NA,Tinamidae,Struthioniformes,R
13,Crypturellus berlepschi,NA,Tinamidae,Struthioniformes,R
14,Crypturellus cinereus,NA,Tinamidae,Struthioniformes,R
15,Crypturellus ptaritepui,NA,Tinamidae,Struthioniformes,R
16,Crypturellus soui,NA,Tinamidae,Struthioniformes,R
17,Crypturellus obsoletus,NA,Tinamidae,Struthioniformes,R
18,Crypturellus undulatus,NA,Tinamidae,Struthioniformes,R
19,Crypturellus strigulosus,NA,Tinamidae,Struthioniformes,R
20,Crypturellus duidae,NA,Tinamidae,Struthioniformes,R
21,Crypturellus erythropus,NA,Tinamidae,Struthioniformes,R
22,Crypturellus noctivagus,NA,Tinamidae,Struthioniformes,R
23,Crypturellus atrocapillus,NA,Tinamidae,Struthioniformes,R
24,Crypturellus cinnamomeus,NA,Tinamidae,Struthioniformes,R
25,Crypturellus transfasciatus,NA,Tinamidae,Struthioniformes,R
26,Crypturellus boucardi,NA,Tinamidae,Struthioniformes,R
27,Crypturellus kerriae,NA,Tinamidae,Struthioniformes,R
28,Crypturellus variegatus,NA,Tinamidae,Struthioniformes,R
29,Crypturellus brevirostris,NA,Tinamidae,Struthioniformes,R
30,Crypturellus bartletti,NA,Tinamidae,Struthioniformes,R
31,Crypturellus casiquiare,NA,Tinamidae,Struthioniformes,R
32,Crypturellus parvirostris,NA,Tinamidae,Struthioniformes,R
33,Crypturellus tataupa,NA,Tinamidae,Struthioniformes,R
34,Rhynchotus rufescens,NA,Tinamidae,Struthioniformes,R
35,Rhynchotus maculicollis,NA,Tinamidae,Struthioniformes,R
36,Nothoprocta taczanowskii,NA,Tinamidae,Struthioniformes,R
37,Nothoprocta ornata,NA,Tinamidae,Struthioniformes,R
38,Nothoprocta perdicaria,NA,Tinamidae,Struthioniformes,R
39,Nothoprocta cinerascens,NA,Tinamidae,Struthioniformes,R
40,Nothoprocta pentlandii,NA,Tinamidae,Struthioniformes,R
41,Nothoprocta curvirostris,NA,Tinamidae,Struthioniformes,R
42,Nothura boraquira,NA,Tinamidae,Struthioniformes,R
43,Nothura minor,NA,Tinamidae,Struthioniformes,R
44,Nothura darwinii,NA,Tinamidae,Struthioniformes,R
45,Nothura maculosa,NA,Tinamidae,Struthioniformes,R
46,Taoniscus nanus,NA,Tinamidae,Struthioniformes,R
47,Eudromia elegans,NA,Tinamidae,Struthioniformes,R
48,Eudromia formosa,NA,Tinamidae,Struthioniformes,R
49,Tinamotis pentlandii,NA,Tinamidae,Struthioniformes,R
50,Tinamotis ingoufi,NA,Tinamidae,Struthioniformes,R
51,Casuarius casuarius,NA,Casuariidae,Struthioniformes,R
52,Casuarius bennetti,NA,Casuariidae,Struthioniformes,R
53,Casuarius unappendiculatus,NA,Casuariidae,Struthioniformes,R
54,Dromaius novaehollandiae,NA,Casuariidae,Struthioniformes,R
55,Dromaius minor,Dromaius ater,Casuariidae,Struthioniformes,R
56,Dromaius baudinianus,NA,Casuariidae,Struthioniformes,R
57,Apteryx haastii,NA,Apterygidae,Struthioniformes,R
58,Apteryx owenii,NA,Apterygidae,Struthioniformes,R
59,Apteryx mantelli,NA,Apterygidae,Struthioniformes,R
60,Apteryx australis,NA,Apterygidae,Struthioniformes,R
61,Apteryx rowi,NA,Apterygidae,Struthioniformes,R
62,Alectura lathami,NA,Megapodiidae,Galliformes,R
63,Aepypodius arfakianus,NA,Megapodiidae,Galliformes,R
64,Aepypodius bruijnii,NA,Megapodiidae,Galliformes,R
65,Talegalla cuvieri,NA,Megapodiidae,Galliformes,R
66,Talegalla fuscirostris,NA,Megapodiidae,Galliformes,R
67,Talegalla jobiensis,NA,Megapodiidae,Galliformes,R
68,Leipoa ocellata,NA,Megapodiidae,Galliformes,R
69,Macrocephalon maleo,NA,Megapodiidae,Galliformes,R
70,Eulipoa wallacei,NA,Megapodiidae,Galliformes,R
71,Megapodius nicobariensis,NA,Megapodiidae,Galliformes,R
72,Megapodius cumingii,NA,Megapodiidae,Galliformes,R
73,Megapodius bernsteinii,NA,Megapodiidae,Galliformes,R
74,Megapodius tenimberensis,NA,Megapodiidae,Galliformes,R
75,Megapodius layardi,NA,Megapodiidae,Galliformes,R
76,Megapodius laperouse,NA,Megapodiidae,Galliformes,R
77,Megapodius pritchardii,NA,Megapodiidae,Galliformes,R
78,Megapodius freycinet,NA,Megapodiidae,Galliformes,R
79,Megapodius geelvinkianus,NA,Megapodiidae,Galliformes,R
80,Megapodius decollatus,NA,Megapodiidae,Galliformes,R
81,Megapodius eremita,NA,Megapodiidae,Galliformes,R
82,Megapodius reinwardt,NA,Megapodiidae,Galliformes,R
83,Chamaepetes unicolor,NA,Cracidae,Galliformes,R
84,Chamaepetes goudotii,NA,Cracidae,Galliformes,R
85,Penelopina nigra,NA,Cracidae,Galliformes,R
86,Penelope argyrotis,NA,Cracidae,Galliformes,R
87,Penelope barbata,NA,Cracidae,Galliformes,R
88,Penelope ortoni,NA,Cracidae,Galliformes,R
89,Penelope montagnii,NA,Cracidae,Galliformes,R
90,Penelope marail,NA,Cracidae,Galliformes,R
91,Penelope superciliaris,NA,Cracidae,Galliformes,R
92,Penelope dabbenei,NA,Cracidae,Galliformes,R
93,Penelope jacquacu,NA,Cracidae,Galliformes,R
94,Penelope purpurascens,NA,Cracidae,Galliformes,R
95,Penelope perspicax,NA,Cracidae,Galliformes,R
96,Penelope albipennis,NA,Cracidae,Galliformes,R
97,Penelope obscura,NA,Cracidae,Galliformes,R
98,Penelope pileata,NA,Cracidae,Galliformes,R
99,Penelope ochrogaster,NA,Cracidae,Galliformes,R
100,Penelope jacucaca,NA,Cracidae,Galliformes,R
101,Pipile pipile,NA,Cracidae,Galliformes,R
102,Pipile cumanensis,NA,Cracidae,Galliformes,R
103,Pipile grayi,NA,Cracidae,Galliformes,R
104,Pipile cujubi,Aburria cujubi,Cracidae,Galliformes,R
105,Pipile jacutinga,Penelope jacutinga,Cracidae,Galliformes,R
106,Aburria aburri,NA,Cracidae,Galliformes,R
107,Oreophasis derbianus,NA,Cracidae,Galliformes,R
108,Ortalis vetula,NA,Cracidae,Galliformes,R
109,Ortalis cinereiceps,NA,Cracidae,Galliformes,R
110,Ortalis garrula,NA,Cracidae,Galliformes,R
111,Ortalis ruficauda,NA,Cracidae,Galliformes,R
112,Ortalis erythroptera,NA,Cracidae,Galliformes,R
113,Ortalis wagleri,NA,Cracidae,Galliformes,R
114,Ortalis poliocephala,NA,Cracidae,Galliformes,R
115,Ortalis canicollis,NA,Cracidae,Galliformes,R
116,Ortalis leucogastra,NA,Cracidae,Galliformes,R
117,Ortalis columbiana,NA,Cracidae,Galliformes,R
118,Ortalis guttata,NA,Cracidae,Galliformes,R
119,Ortalis araucuan,NA,Cracidae,Galliformes,R
120,Ortalis squamata,NA,Cracidae,Galliformes,R
121,Ortalis motmot,NA,Cracidae,Galliformes,R
122,Ortalis superciliaris,NA,Cracidae,Galliformes,R
123,Nothocrax urumutum,NA,Cracidae,Galliformes,R
124,Crax rubra,NA,Cracidae,Galliformes,R
125,Crax alberti,NA,Cracidae,Galliformes,R
126,Crax daubentoni,NA,Cracidae,Galliformes,R
127,Crax alector,NA,Cracidae,Galliformes,R
128,Crax fasciolata,NA,Cracidae,Galliformes,R
129,Crax pinima,NA,Cracidae,Galliformes,R
130,Crax globulosa,NA,Cracidae,Galliformes,R
131,Crax blumenbachii,NA,Cracidae,Galliformes,R
132,Mitu tomentosum,Mitu tomentosa,Cracidae,Galliformes,R
132,Mitu tomentosum,Crax tomentosa,Cracidae,Galliformes,R
133,Mitu mitu,NA,Cracidae,Galliformes,R
134,Mitu tuberosum,Mitu tuberosa,Cracidae,Galliformes,R
134,Mitu tuberosum,Crax tuberosa,Cracidae,Galliformes,R
135,Mitu salvini,Crax salvini,Cracidae,Galliformes,R
136,Pauxi unicornis,NA,Cracidae,Galliformes,R
137,Pauxi koepckeae,NA,Cracidae,Galliformes,R
138,Pauxi pauxi,NA,Cracidae,Galliformes,R
139,Numida meleagris,NA,Numididae,Galliformes,R
140,Agelastes meleagrides,NA,Numididae,Galliformes,R
141,Agelastes niger,NA,Numididae,Galliformes,R
142,Acryllium vulturinum,NA,Numididae,Galliformes,R
143,Guttera plumifera,NA,Numididae,Galliformes,R
144,Guttera verreauxi,NA,Numididae,Galliformes,R
145,Guttera pucherani,NA,Numididae,Galliformes,R
146,Guttera edouardi,NA,Numididae,Galliformes,R
147,Ptilopachus petrosus,NA,Odontophoridae,Galliformes,R
148,Ptilopachus nahani,Francolinus nahani,Odontophoridae,Galliformes,R
149,Philortyx fasciatus,NA,Odontophoridae,Galliformes,R
150,Oreortyx pictus,NA,Odontophoridae,Galliformes,R
151,Colinus virginianus,NA,Odontophoridae,Galliformes,R
152,Colinus nigrogularis,NA,Odontophoridae,Galliformes,R
153,Colinus leucopogon,NA,Odontophoridae,Galliformes,R
154,Colinus cristatus,NA,Odontophoridae,Galliformes,R
155,Callipepla squamata,NA,Odontophoridae,Galliformes,R
156,Callipepla douglasii,Lophortyx douglasii,Odontophoridae,Galliformes,R
157,Callipepla gambelii,Lophortyx gambelii,Odontophoridae,Galliformes,R
158,Callipepla californica,Lophortyx californica,Odontophoridae,Galliformes,R
159,Dendrortyx barbatus,NA,Odontophoridae,Galliformes,R
160,Dendrortyx macroura,NA,Odontophoridae,Galliformes,R
161,Dendrortyx leucophrys,NA,Odontophoridae,Galliformes,R
162,Odontophorus gujanensis,NA,Odontophoridae,Galliformes,R
163,Odontophorus capueira,NA,Odontophoridae,Galliformes,R
164,Odontophorus melanotis,NA,Odontophoridae,Galliformes,R
165,Odontophorus erythrops,NA,Odontophoridae,Galliformes,R
166,Odontophorus atrifrons,NA,Odontophoridae,Galliformes,R
167,Odontophorus hyperythrus,Odontophorus hyperthyrus,Odontophoridae,Galliformes,R
168,Odontophorus melanonotus,NA,Odontophoridae,Galliformes,R
169,Odontophorus speciosus,NA,Odontophoridae,Galliformes,R
170,Odontophorus dialeucos,NA,Odontophoridae,Galliformes,R
171,Odontophorus strophium,NA,Odontophoridae,Galliformes,R
172,Odontophorus columbianus,NA,Odontophoridae,Galliformes,R
173,Odontophorus leucolaemus,NA,Odontophoridae,Galliformes,R
174,Odontophorus balliviani,NA,Odontophoridae,Galliformes,R
175,Odontophorus stellatus,NA,Odontophoridae,Galliformes,R
176,Odontophorus guttatus,NA,Odontophoridae,Galliformes,R
177,Rhynchortyx cinctus,NA,Odontophoridae,Galliformes,R
178,Dactylortyx thoracicus,NA,Odontophoridae,Galliformes,R
179,Cyrtonyx montezumae,NA,Odontophoridae,Galliformes,R
180,Cyrtonyx sallei,NA,Odontophoridae,Galliformes,R
181,Cyrtonyx ocellatus,NA,Odontophoridae,Galliformes,R
182,Xenoperdix udzungwensis,NA,Phasianidae,Galliformes,R
183,Rollulus rouloul,NA,Phasianidae,Galliformes,R
184,Arborophila torqueola,NA,Phasianidae,Galliformes,R
185,Arborophila rufogularis,NA,Phasianidae,Galliformes,R
186,Arborophila atrogularis,NA,Phasianidae,Galliformes,R
187,Arborophila crudigularis,NA,Phasianidae,Galliformes,R
188,Arborophila mandellii,NA,Phasianidae,Galliformes,R
189,Arborophila brunneopectus,NA,Phasianidae,Galliformes,R
190,Arborophila rufipectus,NA,Phasianidae,Galliformes,R
191,Arborophila gingica,NA,Phasianidae,Galliformes,R
192,Arborophila davidi,NA,Phasianidae,Galliformes,R
193,Arborophila cambodiana,NA,Phasianidae,Galliformes,R
194,Arborophila campbelli,NA,Phasianidae,Galliformes,R
195,Arborophila rolli,NA,Phasianidae,Galliformes,R
196,Arborophila sumatrana,NA,Phasianidae,Galliformes,R
197,Arborophila orientalis,NA,Phasianidae,Galliformes,R
198,Arborophila javanica,NA,Phasianidae,Galliformes,R
199,Arborophila rubrirostris,NA,Phasianidae,Galliformes,R
200,Arborophila hyperythra,NA,Phasianidae,Galliformes,R
201,Arborophila ardens,NA,Phasianidae,Galliformes,R
202,Tropicoperdix chloropus,Arborophila chloropus,Phasianidae,Galliformes,R
203,Tropicoperdix tonkinensis,Arborophila tonkinensis,Phasianidae,Galliformes,R
204,Tropicoperdix charltonii,Arborophila charltonii,Phasianidae,Galliformes,R
205,Tropicoperdix graydoni,Arborophila graydoni,Phasianidae,Galliformes,R
206,Rhizothera longirostris,NA,Phasianidae,Galliformes,R
207,Rhizothera dulitensis,NA,Phasianidae,Galliformes,R
208,Melanoperdix niger,Melanoperdix nigra,Phasianidae,Galliformes,R
209,Haematortyx sanguiniceps,NA,Phasianidae,Galliformes,R
210,Caloperdix oculeus,Caloperdix oculea,Phasianidae,Galliformes,R
211,Galloperdix spadicea,NA,Phasianidae,Galliformes,R
212,Galloperdix lunulata,NA,Phasianidae,Galliformes,R
213,Galloperdix bicalcarata,NA,Phasianidae,Galliformes,R
214,Afropavo congensis,NA,Phasianidae,Galliformes,R
215,Pavo cristatus,NA,Phasianidae,Galliformes,R
216,Pavo muticus,NA,Phasianidae,Galliformes,R
217,Argusianus argus,NA,Phasianidae,Galliformes,R
218,Rheinardia ocellata,Rheinartia ocellata,Phasianidae,Galliformes,R
219,Rheinardia nigrescens,NA,Phasianidae,Galliformes,R
220,Polyplectron napoleonis,Polyplectron emphanum,Phasianidae,Galliformes,R
221,Polyplectron malacense,NA,Phasianidae,Galliformes,R
222,Polyplectron schleiermacheri,NA,Phasianidae,Galliformes,R
223,Polyplectron germaini,NA,Phasianidae,Galliformes,R
224,Polyplectron katsumatae,NA,Phasianidae,Galliformes,R
225,Polyplectron bicalcaratum,NA,Phasianidae,Galliformes,R
226,Polyplectron inopinatum,NA,Phasianidae,Galliformes,R
227,Polyplectron chalcurum,NA,Phasianidae,Galliformes,R
228,Margaroperdix madagarensis,NA,Phasianidae,Galliformes,R
229,Coturnix coturnix,NA,Phasianidae,Galliformes,R
230,Coturnix japonica,NA,Phasianidae,Galliformes,R
231,Coturnix coromandelica,NA,Phasianidae,Galliformes,R
232,Coturnix delegorguei,NA,Phasianidae,Galliformes,R
233,Coturnix pectoralis,NA,Phasianidae,Galliformes,R
234,Coturnix novaezelandiae,NA,Phasianidae,Galliformes,R
235,Synoicus ypsilophorus,Coturnix ypsilophora,Phasianidae,Galliformes,R
236,Synoicus chinensis,Coturnix chinensis,Phasianidae,Galliformes,R
237,Synoicus adansonii,Coturnix adansonii,Phasianidae,Galliformes,R
238,Anurophasis monorthonyx,NA,Phasianidae,Galliformes,R
