Species_original,Sex,Adult_Juvenile,BirdTree_WJSpecID,Species_BirdTree,Species_IOC13.1,Order_IOC13.1,Family_IOC13.1,English.name_IOC13.1,Multiling_IOC13.1_Japanese,N_studies,body.mass_g,wingspan_m,wing.area_m2,ref,def_span,def_area
Diomedea epomophora,NA,NA,5578,Diomedea epomophora,Diomedea epomophora,PROCELLARIIFORMES,Diomedeidae,Southern Royal Albatross,ミナミシロアホウドリ,1,8697,2.82,0.4963,Warham 1977,A-II,A-II
Diomedea exulans,NA,NA,5575,Diomedea exulans,Diomedea exulans,PROCELLARIIFORMES,Diomedeidae,Wandering Albatross,ワタリアホウドリ,6,6636,2.71,0.4337,Warham 1977,A-II,A-II
Diomedea immutabilis,NA,NA,5582,Phoebastria immutabilis,Phoebastria immutabilis,PROCELLARIIFORMES,Diomedeidae,Laysan Albatross,コアホウドリ,2,3092,NA,0.2726,Warham 1977,NA,A-II
Diomedea nigripes,NA,NA,5581,Phoebastria nigripes,Phoebastria nigripes,PROCELLARIIFORMES,Diomedeidae,Black-footed Albatross,クロアシアホウドリ,2,3148,NA,0.2726,Warham 1977,NA,A-II
Phoebetria palpebrata,NA,NA,5593,Phoebetria palpebrata,Phoebetria palpebrata,PROCELLARIIFORMES,Diomedeidae,Light-mantled Albatross,ハイイロアホウドリ,5,2838,NA,0.3226,Warham 1977,NA,A-II
Diomedea bulleri,NA,NA,5591,Thalassarche bulleri,Thalassarche bulleri,PROCELLARIIFORMES,Diomedeidae,Buller's Albatross,ニュージーランドアホウドリ,1,3012,2.05,0.2538,Warham 1977,A-II,A-II
Diomedea chlororhynchos,NA,NA,5590,Thalassarche chlororhynchos,Thalassarche chlororhynchos,PROCELLARIIFORMES,Diomedeidae,Atlantic Yellow-nosed Albatross,ニシキバナアホウドリ,1,2068,NA,0.2507,Warham 1977,NA,A-II
Diomedea chrysostoma,NA,NA,5589,Thalassarche chrysostoma,Thalassarche chrysostoma,PROCELLARIIFORMES,Diomedeidae,Grey-headed Albatross,ハイガシラアホウドリ,4,3300,2,0.2389,Warham 1977,A-II,A-II
Diomedea melanophris,NA,NA,5583,Thalassarche melanophrys,Thalassarche melanophris,PROCELLARIIFORMES,Diomedeidae,Black-browed Albatross,マユグロアホウドリ,4,2911,2.09,0.2682,Warham 1977,A-II,A-II
Oceanodroma homochroa,NA,NA,5620,Oceanodroma homochroa,Hydrobates homochroa,PROCELLARIIFORMES,Hydrobatidae,Ashy Storm Petrel,ススイロウミツバメ,1,38,NA,0.0193,Warham 1977,NA,A-II
Oceanodroma leucorhoa,NA,NA,5609,Oceanodroma leucorhoa,Hydrobates leucorhous,PROCELLARIIFORMES,Hydrobatidae,Leach's Storm Petrel,コシジロウミツバメ,5,39,NA,0.0237,Warham 1977,NA,A-II
Oceanodroma melania,NA,NA,5619,Oceanodroma melania,Hydrobates melania,PROCELLARIIFORMES,Hydrobatidae,Black Storm Petrel,アメリカクロウミツバメ,1,59,NA,0.0265,Warham 1977,NA,A-II
Halocyptena microsoma,NA,NA,5606,Halocyptena microsoma,Hydrobates microsoma,PROCELLARIIFORMES,Hydrobatidae,Least Storm Petrel,コウミツバメ,1,20,NA,0.0137,Warham 1977,NA,A-II
Hydrobates pelagicus,NA,NA,5605,Hydrobates pelagicus,Hydrobates pelagicus,PROCELLARIIFORMES,Hydrobatidae,European Storm Petrel,ヒメウミツバメ,3,28,0.34,0.0153,Warham 1977,A-II,A-II
Fregetta tropica,NA,NA,5602,Fregetta tropica,Fregetta tropica,PROCELLARIIFORMES,Oceanitidae,Black-bellied Storm Petrel,クロハラウミツバメ,2,54,0.41,0.0226,Warham 1977,A-II,A-II
Garrodia nereis,NA,NA,5600,Garrodia nereis,Garrodia nereis,PROCELLARIIFORMES,Oceanitidae,Grey-backed Storm Petrel,ヒメアシナガウミツバメ,2,32,0.32,0.014,Warham 1977,A-II,A-II
Oceanites oceanites,NA,NA,5598,Oceanites oceanicus,Oceanites oceanicus,PROCELLARIIFORMES,Oceanitidae,Wilson's Storm Petrel,アシナガウミツバメ,1,39,NA,0.0151,Warham 1977,NA,A-II
Pterodroma brevirostris,NA,NA,5471,Lugensa brevirostris,Aphrodroma brevirostris,PROCELLARIIFORMES,Procellariidae,Kerguelen Petrel,ケルゲレンミズナギドリ,2,329,0.86,0.0594,Warham 1977,A-II,A-II
Puffinus griseus,NA,NA,5540,Puffinus griseus,Ardenna grisea,PROCELLARIIFORMES,Procellariidae,Sooty Shearwater,ハイイロミズナギドリ,3,819,0.99,0.0727,Warham 1977,A-II,A-II
Puffinus tenuirostris,NA,NA,5541,Puffinus tenuirostris,Ardenna tenuirostris,PROCELLARIIFORMES,Procellariidae,Short-tailed Shearwater,ハシボソミズナギドリ,2,544,0.94,0.073,Warham 1977,A-II,A-II
Calonectris diomedea,NA,NA,5528,Calonectris diomedea,Calonectris diomedea,PROCELLARIIFORMES,Procellariidae,Scopoli's Shearwater,オニミズナギドリ,1,946,1.21,0.1114,Warham 1977,A-II,A-II
Daption capense,NA,NA,5465,Daption capense,Daption capense,PROCELLARIIFORMES,Procellariidae,Cape Petrel,マダラフルマカモメ,2,377,0.89,0.063,Warham 1977,A-II,A-II
Fulmarus glacialis,NA,NA,5462,Fulmarus glacialis,Fulmarus glacialis,PROCELLARIIFORMES,Procellariidae,Northern Fulmar,フルマカモメ,6,763,1.12,0.1056,Warham 1977,A-II,A-II
Fulmarus glacialoides,NA,NA,5463,Fulmarus glacialoides,Fulmarus glacialoides,PROCELLARIIFORMES,Procellariidae,Southern Fulmar,ギンフルマカモメ,2,887,1.17,0.112,Warham 1977,A-II,A-II
Halobaena caerulea,NA,NA,5512,Halobaena caerulea,Halobaena caerulea,PROCELLARIIFORMES,Procellariidae,Blue Petrel,アオミズナギドリ,4,181,0.68,0.0392,Warham 1977,A-II,A-II
Macronectes giganteus,NA,NA,5460,Macronectes giganteus,Macronectes giganteus,PROCELLARIIFORMES,Procellariidae,Southern Giant Petrel,オオフルマカモメ,3,4549,NA,0.2748,Warham 1977,NA,A-II
Macronectes halli,NA,NA,5461,Macronectes halli,Macronectes halli,PROCELLARIIFORMES,Procellariidae,Northern Giant Petrel,キタオオフルマカモメ,2,4255,1.93,0.2846,Warham 1977,A-II,A-II
Pachyptila desolata,NA,NA,5518,Pachyptila desolata,Pachyptila desolata,PROCELLARIIFORMES,Procellariidae,Antarctic Prion,ナンキョククジラドリ,4,159,0.63,0.0423,Warham 1977,A-II,A-II
Pachyptila salvini,NA,NA,5514,Pachyptila salvini,Pachyptila salvini,PROCELLARIIFORMES,Procellariidae,Salvin's Prion,チュウヒロハシクジラドリ,1,156,0.63,0.0404,Warham 1977,A-II,A-II
Pachyptila turtur,NA,NA,5520,Pachyptila turtur,Pachyptila turtur,PROCELLARIIFORMES,Procellariidae,Fairy Prion,ヒメクジラドリ,1,132,0.56,0.0336,Warham 1977,A-II,A-II
Pachyptila vittata,NA,NA,5513,Pachyptila vittata,Pachyptila vittata,PROCELLARIIFORMES,Procellariidae,Broad-billed Prion,ヒロハシクジラドリ,2,196,NA,0.044,Warham 1977,NA,A-II
Pagodroma nivea,NA,NA,5466,Pagodroma nivea,Pagodroma nivea,PROCELLARIIFORMES,Procellariidae,Snow Petrel,ユキドリ,2,322,NA,0.0583,Warham 1977,NA,A-II
Pelecanoides urinatrix,NA,NA,5565,Pelecanoides urinatrix,Pelecanoides urinatrix,PROCELLARIIFORMES,Procellariidae,Common Diving Petrel,モグリウミツバメ,4,119,0.38,0.0174,Warham 1977,A-II,A-II
Procellaria aequinoctialis,NA,NA,5524,Procellaria aequinoctialis,Procellaria aequinoctialis,PROCELLARIIFORMES,Procellariidae,White-chinned Petrel,ノドジロクロミズナギドリ,6,1134,1.38,0.1455,Warham 1977,A-II,A-II
Procellaria cinerea,NA,NA,5527,Procellaria cinerea,Procellaria cinerea,PROCELLARIIFORMES,Procellariidae,Grey Petrel,オオハイイロミズナギドリ,2,1018,1.19,0.1072,Warham 1977,A-II,A-II
Procellaria westlandica,NA,NA,5526,Procellaria westlandica,Procellaria westlandica,PROCELLARIIFORMES,Procellariidae,Westland Petrel,ウエストランドクロミズナギドリ,2,1229,1.4,0.1632,Warham 1977,A-II,A-II
Pterodroma cooki,NA,NA,5484,Pterodroma cookii,Pterodroma cookii,PROCELLARIIFORMES,Procellariidae,Cook's Petrel,ハジロシロハラミズナギドリ,1,191,0.73,0.0508,Warham 1977,A-II,A-II
Pterodroma externa,NA,NA,5495,Pterodroma externa,Pterodroma externa,PROCELLARIIFORMES,Procellariidae,Juan Fernandez Petrel,オオシロハラミズナギドリ,2,430,1,0.0795,Warham 1977,A-II,A-II
Pterodroma hypoleuca,NA,NA,5481,Pterodroma hypoleuca,Pterodroma hypoleuca,PROCELLARIIFORMES,Procellariidae,Bonin Petrel,シロハラミズナギドリ,2,181,NA,0.0525,Warham 1977,NA,A-II
Pterodroma inexpectata,NA,NA,5480,Pterodroma inexpectata,Pterodroma inexpectata,PROCELLARIIFORMES,Procellariidae,Mottled Petrel,マダラシロハラミズナギドリ,2,329,0.84,0.0542,Warham 1977,A-II,A-II
Pterodroma lessoni,NA,NA,5501,Pterodroma lessonii,Pterodroma lessonii,PROCELLARIIFORMES,Procellariidae,White-headed Petrel,メグロシロハラミズナギドリ,1,586,1.01,0.0815,Warham 1977,A-II,A-II
Pterodroma mollis,NA,NA,5505,Pterodroma mollis,Pterodroma mollis,PROCELLARIIFORMES,Procellariidae,Soft-plumaged Petrel,カオジロミズナギドリ,1,276,0.83,0.0603,Warham 1977,A-II,A-II
