species,speed,sd,n_tracks,source
Accipiter brevipes,10.8,2.3,18,Bruderer2001
Accipiter brevipes,13.3,2.3,44,Bruderer2001
Accipiter brevipes,11.1,2.1,57,Bruderer2001
Accipiter brevipes,11.4,2.4,91,Bruderer2001
Accipiter gentilis,9.7,0,1,
Accipiter nisus,11.3,1.9,12,Alerstam2007
Accipiter nisus,10,NA,64,Bruderer2001
Accipiter nisus,9.8,1.3,47,Bruderer2001
Accipiter nisus,10.9,1.3,65,Bruderer2001
Accipiter nisus,10,1.8,64,Bruderer2001
Accipiter nisus,11.5,2.2,25,Bruderer2001
Acrocephalus palustris,8.8,0.8,2,
Acrocephalus scirpaceus,6.6,2.8,11,
Acrocephalus arundinac,7.1,0,1,
Actitis hypoleucos,9.1,3.6,2,
Aegypius monachus,15.5,0,1,
Alauda arvensis,15.1,2.1,15,Alerstam2007
Alauda arvensis,12.7,2.5,20,Bruderer2001
Anas acuta,20.6,2.6,6,Alerstam2007
Anas acuta,13.3,0.9,2,Bruderer2001
Anas crecca,19.7,4,9,Alerstam2007
Anas penelope,20.6,2.1,36,Alerstam2007
Anas platyrhynchos,18.5,2.3,22,Alerstam2007
Anas platyrhynchos,21.4,2.4,7,Bruderer2001
Anas querquedula,14.1,0,1,Bruderer2001
Anser albifrons,16.1,2,5,Alerstam2007
Anser anser,17.1,2.6,21,Alerstam2007
Anser fabalis,17.3,2.7,44,Alerstam2007
Anthus pratensis,10.5,2.7,6,Bruderer2001
Anthus pratensis,8.8,0.7,4,
Anthus trivialis,12.7,2.2,4,Alerstam2007
Anthus trivialis,12,4.8,4,Bruderer2001
Anthus trivialis,7,1.4,8,
Apus apus,9.7,2,34,Alerstam2007
Apus apus,10.6,3,163,Bruderer2001
Apus apus,9.2,0.2,2,
Apus melba,12.6,2.9,36,Bruderer2001
Apus pallidus,10.5,1.9,33,Bruderer2001
Aquila chrysaetos,11.9,NA,1,Alerstam2007
Aquila chrysaetos,15.1,1.7,2,
Aquila chrysaetos,13,6.2,7,
Aquila heliaca,9.5,0.9,1,
Aquila nipalensis,7.7,1,1,Bruderer2001
Aquila nipalensis,14.3,2.5,101,
Aquila nipalensis,15.3,2,9,
Aquila pomarina,11.7,3,2,Bruderer2001
Aquila pomarina,14.5,2.7,67,
Aquila pomarina,14.7,2,9,
Ardea cinerea,12.5,2.2,14,Alerstam2007
Ardea cinerea,11.2,1.6,49,Bruderer2001
Ardea purpurea,10.8,2,12,Bruderer2001
Ardeola ralloides,11.7,0,1,Bruderer2001
Arenaria interpres,14.9,0.7,2,Alerstam2007
Asio flameus,8.4,1.4,3,
Aythya ferina,23.6,NA,1,Alerstam2007
Aythya fuligula,21.1,1.1,3,Alerstam2007
Aythya marila,21.3,NA,1,Alerstam2007
Botaurus stellaris,8.8,NA,1,Alerstam2007
Branta bernicla,17.7,2.8,97,Alerstam2007
Branta canadensis,16.7,NA,1,Alerstam2007
Branta leucopsis,17,2.2,22,Alerstam2007
Bucephala clangula,20.3,3.8,10,Alerstam2007
Buteo buteo,11.5,1.4,93,
Buteo buteo,11.6,2.7,10,Alerstam2007
Buteo buteo,13.3,1.3,13,Bruderer2001
Buteo buteo,9.6,1.7,68,
Buteo buteo,11.1,0,1,
Buteo buteo,11,3.4,23,
Buteo buteo,14.4,2.4,324,
Buteo buteo,14.4,2.4,51,
Buteo rufinus,14.6,2.8,11,
Buteo rufinus,14.8,2.4,17,
Buteo lagopus,10.5,0,2,Alerstam2007
Calidris alpina,15.3,1.9,36,Alerstam2007
Calidris alpina,8.9,1.6,2,
Calidris canutus,20.1,1.9,7,Alerstam2007
