species,speed,sd,n_tracks,source
Accipiter brevipes,11.1,NA,57,Bruderer2001
Accipiter nisus,11.3,1.9,12,Alerstam2007
Accipiter nisus,10,NA,64,Bruderer2001
Alauda arvensis,15.1,2.1,15,Alerstam2007
Alauda arvensis,12.7,NA,20,Bruderer2001
Anas acuta,20.6,2.6,6,Alerstam2007
Anas crecca,19.7,4,9,Alerstam2007
Anas penelope,20.6,2.1,36,Alerstam2007
Anas platyrhynchos,18.5,2.3,22,Alerstam2007
Anser albifrons,16.1,2,5,Alerstam2007
Anser anser,17.1,2.6,21,Alerstam2007
Anser fabalis,17.3,2.7,44,Alerstam2007
Anthus pratensis,10.5,NA,6,Bruderer2001
Anthus trivialis,12.7,2.2,4,Alerstam2007
Anthus trivialis,12,NA,4,Bruderer2001
Apus apus,9.7,2,34,Alerstam2007
Apus apus,10.6,NA,163,Bruderer2001
Apus melba,12.6,NA,36,Bruderer2001
Apus pallidus,10.5,NA,33,Bruderer2001
Aquila chrysaetos,11.9,NA,1,Alerstam2007
Aquila nipalensis,7.7,NA,1,Bruderer2001
Aquila pomarina,11.7,NA,2,Bruderer2001
Ardea cinerea,12.5,2.2,14,Alerstam2007
Ardea cinerea,11.2,NA,49,Bruderer2001
Ardea purpurea,10.8,NA,12,Bruderer2001
Ardeola ralloides,11.7,NA,1,Bruderer2001
Arenaria interpres,14.9,0.7,2,Alerstam2007
Aythya ferina,23.6,NA,1,Alerstam2007
Aythya fuligula,21.1,1.1,3,Alerstam2007
Aythya marila,21.3,NA,1,Alerstam2007
Botaurus stellaris,8.8,NA,1,Alerstam2007
Branta bernicla,17.7,2.8,97,Alerstam2007
Branta canadensis,16.7,NA,1,Alerstam2007
Branta leucopsis,17,2.2,22,Alerstam2007
Bucephala clangula,20.3,3.8,10,Alerstam2007
Buteo buteo,11.6,2.7,10,Alerstam2007
Buteo buteo,13.3,NA,13,Bruderer2001
Buteo lagopus,10.5,0,2,Alerstam2007
Calidris alpina,15.3,1.9,36,Alerstam2007
Calidris canutus,20.1,1.9,7,Alerstam2007
Carduelis cannabina,14.8,4.5,2,Alerstam2007
Carduelis carduelis,12.8,NA,3,Bruderer2001
Carduelis chloris,12.2,NA,1,Bruderer2001
Carduelis spinus,14.5,1.6,60,Alerstam2007
Carduelis spinus,12.4,NA,2,Bruderer2001
Charadrius hiaticula,19.5,NA,1,Alerstam2007
Chlidonias leucopterus,12,NA,1,Bruderer2001
Ciconia ciconia,16,NA,6,Bruderer2001
Ciconia nigra,16,NA,6,Bruderer2001
Circus aeruginosus,11.2,1.6,2,Alerstam2007
Circus aeruginosus,10.1,NA,22,Bruderer2001
Circus cyaneus,9.1,0.7,2,Alerstam2007
Circus macrourus,9.6,NA,3,Bruderer2001
Circus pygargus,8.4,NA,1,Bruderer2001
Clangula hyemalis,22,1.4,3,Alerstam2007
Columba oenas,15.8,2,8,Alerstam2007
Columba palumbus,16.3,2.3,87,Alerstam2007
Columba palumbus,17.6,NA,11,Bruderer2001
Corvus corax,14.3,0.9,5,Alerstam2007
Corvus corone,13.5,2.6,5,Alerstam2007
Corvus frugilegus,11.5,1.2,16,Alerstam2007
Corvus frugilegus,13,NA,8,Bruderer2001
Corvus monedula,12.5,2.6,13,Alerstam2007
Corvus monedula,14.7,NA,3,Bruderer2001
Cygnus columbianus,18.5,NA,1,Alerstam2007
Cygnus cygnus,17.3,2,10,Alerstam2007
Cygnus olor,16.2,1.6,24,Alerstam2007
Delichon urbica,9.7,0.5,2,Alerstam2007
Delichon urbica,11,NA,76,Bruderer2001
Egretta alba,10.2,NA,2,Bruderer2001
Falco eleonorae,12.8,NA,2,Bruderer2001
Falco naumanni,11.3,NA,12,Bruderer2001
Falco peregrinus,12.1,NA,13,Bruderer2001
Falco subbuteo,11.3,NA,20,Bruderer2001
Falco tinnunculus,10.1,NA,1,Alerstam2007
Falco vespertinus,12.8,NA,4,Bruderer2001
Fringilla coelebs,12.8,1.9,23,Alerstam2007
Fringilla coelebs,12.8,NA,52,Bruderer2001
Fringilla montifringilla,15,2.9,4,Alerstam2007
Fringilla montifringilla,11.6,NA,2,Bruderer2001
Gallinago gallinago,17.1,2.7,22,Alerstam2007
Garrulus glandarius,6.7,1,2,Alerstam2007
Garrulus glandarius,12.9,NA,2,Bruderer2001
Gavia adamsii,18.7,0.5,2,Alerstam2007
Gavia arctica,19.3,2.1,13,Alerstam2007
Gavia stellata,18.6,3.9,7,Alerstam2007
Grus grus,15,2.7,12,Alerstam2007
Grus grus,13.6,NA,1,Bruderer2001
Haematopus ostralegus,13,2.5,19,Alerstam2007
Haliaeetus albicilla,13.6,0.9,2,Alerstam2007
Hieraaetus pennatus,11.3,NA,2,Bruderer2001
Hirundo rupestris,9.9,NA,1,Bruderer2001
Hirundo rustica,10,2,2,Alerstam2007
Hirundo rustica,11.3,NA,108,Bruderer2001
Larus argentatus,12.8,1.8,18,Alerstam2007
Larus canus,13.4,2.9,36,Alerstam2007
Larus fuscus,13.1,1.9,11,Alerstam2007
Larus fuscus,11.9,NA,11,Bruderer2001
Larus glaucoides,15.9,NA,1,Alerstam2007
Larus hyperboreus,13.4,0.8,3,Alerstam2007
Larus marinus,13.7,1.2,4,Alerstam2007
Larus minutus,11.5,0.1,2,Alerstam2007
Larus ridibundus,11.9,1.6,19,Alerstam2007
Limosa lapponica,18.3,2.1,15,Alerstam2007
Lullula arborea,9.8,NA,1,Bruderer2001
Mean (species),14.1,NA,17,Alerstam2007
Melanitta fusca,20.1,4.7,32,Alerstam2007
Melanitta nigra,22.1,4,14,Alerstam2007
Mergus merganser,19.7,1.1,2,Alerstam2007
Mergus serrator,20,2.9,33,Alerstam2007
Merops apiaster,12.2,NA,28,Bruderer2001
Milvus migrans,11.7,NA,7,Bruderer2001
